viewport,group,story,theme,axe_rules_flagged,checks_needing_manual_review,canvas_width,content_width
1200,Elements/ActivityFeed,With Comment Content,dark,,,1200,1200
1200,Elements/ActivityFeed,With CTA Content,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,With CTA Content,dark,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Unread State,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Unread State,dark,,,1200,1200
1200,Elements/ActivityFeed,With Badge,light,color-contrast,color-contrast,1200,1200
1200,Elements/ActivityFeed,With Badge,dark,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Timeline,light,color-contrast,color-contrast,1200,1200
1200,Elements/ActivityFeed,Timeline,dark,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Content Styles,light,color-contrast,,1200,1200
1200,Elements/ActivityFeed,Content Styles,dark,,,1200,1200
1200,Components/Alert,Toast Information,light,,,1200,1200
1200,Components/Alert,Toast Information,dark,,,1200,1200
1200,Components/Alert,All Toasts,light,,,1200,1200
1200,Components/Alert,All Toasts,dark,,,1200,1200
1200,Components/Alert,All Banners,light,,,1200,1200
1200,Components/Alert,All Banners,dark,color-contrast,,1200,1200
1200,Components/Avatar,Default,light,,,1200,1200
1200,Components/Avatar,Default,dark,,,1200,1200
1200,Components/Avatar,Image Sizes,light,,,1200,1200
1200,Components/Avatar,Image Sizes,dark,,,1200,1200
1200,Components/Avatar,Icon Sizes,light,,,1200,1200
1200,Components/Avatar,Icon Sizes,dark,,,1200,1200
1200,Components/Avatar,Initials Sizes,light,,,1200,1200
1200,Components/Avatar,Initials Sizes,dark,,,1200,1200
1200,Components/Avatar,Status Indicators,light,,,1200,1200
1200,Components/Avatar,Status Indicators,dark,,,1200,1200
1200,Components/Avatar,Custom Icon,light,,,1200,1200
1200,Components/Avatar,Custom Icon,dark,,,1200,1200
1200,Components/Avatar,Group,light,,,1200,1200
1200,Components/Avatar,Group,dark,,,1200,1200
1200,Components/Badge,Default,light,color-contrast,,1200,1200
1200,Components/Badge,Default,dark,color-contrast,,1200,1200
1200,Components/Badge,Filled Colors,light,color-contrast,,1200,1200
1200,Components/Badge,Filled Colors,dark,color-contrast,,1200,1200
1200,Components/Badge,Accent Colors,light,color-contrast,,1200,1200
1200,Components/Badge,Accent Colors,dark,color-contrast,,1200,1200
1200,Components/Badge,Outline Colors,light,color-contrast,,1200,1200
1200,Components/Badge,Outline Colors,dark,,,1200,1200
1200,Components/Badge,Sizes,light,color-contrast,,1200,1200
1200,Components/Badge,Sizes,dark,color-contrast,,1200,1200
1200,Components/Badge,With Icons,light,color-contrast,,1200,1200
1200,Components/Badge,With Icons,dark,color-contrast,,1200,1200
1200,Components/Banner,Default,light,,,1200,1200
1200,Components/Banner,Default,dark,color-contrast,,1200,1200
1200,Components/Banner,Bold,light,color-contrast,,1200,1200
1200,Components/Banner,Bold,dark,color-contrast,,1200,1200
1200,Components/Banner,Small,light,,,1200,1200
1200,Components/Banner,Small,dark,color-contrast,,1200,1200
1200,Components/Banner,All Subtle,light,,,1200,1200
1200,Components/Banner,All Subtle,dark,color-contrast,,1200,1200
1200,Components/Banner,All Bold,light,color-contrast,,1200,1200
1200,Components/Banner,All Bold,dark,color-contrast,,1200,1200
1200,Components/Banner,Small Variants,light,color-contrast,,1200,1200
1200,Components/Banner,Small Variants,dark,color-contrast,,1200,1200
1200,Components/Banner,No Dismiss,light,,,1200,1200
1200,Components/Banner,No Dismiss,dark,color-contrast,,1200,1200
1200,Components/Button,Primary,light,,,1200,1200
1200,Components/Button,Primary,dark,,,1200,1200
1200,Components/Button,Secondary,light,,,1200,1200
1200,Components/Button,Secondary,dark,,,1200,1200
1200,Components/Button,Grey,light,,,1200,1200
1200,Components/Button,Grey,dark,,,1200,1200
1200,Components/Button,Grey Outlined,light,,,1200,1200
1200,Components/Button,Grey Outlined,dark,,,1200,1200
1200,Components/Button,Destructive,light,,,1200,1200
1200,Components/Button,Destructive,dark,,,1200,1200
1200,Components/Button,Destructive Outlined,light,,,1200,1200
1200,Components/Button,Destructive Outlined,dark,,,1200,1200
1200,Components/Button,Text,light,,,1200,1200
1200,Components/Button,Text,dark,,,1200,1200
1200,Components/Button,Large,light,,,1200,1200
1200,Components/Button,Large,dark,,,1200,1200
1200,Components/Button,With Leading Icon,light,,,1200,1200
1200,Components/Button,With Leading Icon,dark,,,1200,1200
1200,Components/Button,With Trailing Icon,light,,,1200,1200
1200,Components/Button,With Trailing Icon,dark,,,1200,1200
1200,Components/Button,Icon Only,light,,,1200,1200
1200,Components/Button,Icon Only,dark,,,1200,1200
1200,Components/Button,Disabled,light,,,1200,1200
1200,Components/Button,Disabled,dark,,,1200,1200
1200,Components/Button,All Variants,light,,,1200,1200
1200,Components/Button,All Variants,dark,,,1200,1200
1200,Components/Button,Readable Action Colors,light,,,1200,1200
1200,Components/Button,Readable Action Colors,dark,,,1200,1200
1200,Components/ButtonGroup,Default,light,,,1200,1200
1200,Components/ButtonGroup,Default,dark,,,1200,1200
1200,Components/ButtonGroup,With Icons,light,,,1200,1200
1200,Components/ButtonGroup,With Icons,dark,,,1200,1200
1200,Components/ButtonGroup,With Active Item,light,color-contrast,,1200,1200
1200,Components/ButtonGroup,With Active Item,dark,color-contrast,,1200,1200
1200,Components/ButtonGroup,With Disabled Items,light,,,1200,1200
1200,Components/ButtonGroup,With Disabled Items,dark,,,1200,1200
1200,Components/ButtonGroup,Four Items,light,color-contrast,,1200,1200
1200,Components/ButtonGroup,Four Items,dark,color-contrast,,1200,1200
1200,Components/Card,Default,light,,,1200,1200
1200,Components/Card,Default,dark,,,1200,1200
1200,Components/Card,Variants,light,,,1200,1200
1200,Components/Card,Variants,dark,,,1200,1200
1200,Components/Card,Sizes,light,,,1200,1200
1200,Components/Card,Sizes,dark,,,1200,1200
1200,Components/Card,With Image,light,,,1200,1200
1200,Components/Card,With Image,dark,,,1200,1200
1200,Components/Card,Image Positions,light,,,1200,1200
1200,Components/Card,Image Positions,dark,,,1200,1200
1200,Components/Card,Header With Actions,light,button-name; color-contrast,,1200,1200
1200,Components/Card,Header With Actions,dark,button-name; color-contrast,,1200,1200
1200,Components/Card,Footer Alignments,light,,,1200,1200
1200,Components/Card,Footer Alignments,dark,,,1200,1200
1200,Components/Card,Hoverable,light,,,1200,1200
1200,Components/Card,Hoverable,dark,,,1200,1200
1200,Components/Card,Product Card,light,color-contrast,,1200,1200
1200,Components/Card,Product Card,dark,color-contrast,,1200,1200
1200,Components/Card,User Profile Card,light,button-name,,1200,1200
1200,Components/Card,User Profile Card,dark,button-name,,1200,1200
1200,Components/Card,Article Card,light,,,1200,1200
1200,Components/Card,Article Card,dark,,,1200,1200
1200,Components/Card,Nested Cards,light,,,1200,1200
1200,Components/Card,Nested Cards,dark,,,1200,1200
